---------------------------------------------------------------------------------------
国内株式(現物取引)
銘柄名,銘柄コード,市場,商品※,決算日1※,決算日2※,口座区分,売買区分,取引,自己/委託,数量,約定日,単価,約定金額,手数料(税抜),消費税,受渡日,支払金額,受取金額,備考
キオクシアホールディングス                                                                          ,285A     ,東証                                                                                                ,株式      ,03/31,09/30,一般        ,買付,普通    ,委託,100                  ,2026/01/27,18110      ,1811000    ,0      ,0      ,2026/01/29,1811000    ,-,

---------------------------------------------------------------------------------------
国内株式（信用取引/新規建）
銘柄名,銘柄コード,市場,商品※,決算日1※,決算日2※,口座区分,売買区分,取引,自己/委託,弁済期限,数量,建約定日,建単価,建約定金額,手数料(税抜),消費税,受渡日,備考

---------------------------------------------------------------------------------------
国内株式（信用取引/返済)
銘柄名,銘柄コード,市場,商品※,決算日1※,決算日2※,口座区分,売買区分,取引,弁済期限,自己/委託,数量,建約定日,建単価,建約定金額,埋約定日,埋単価,埋約定金額,建手数料(税抜)※,埋手数料(税抜),逆日歩受取※,逆日歩支払※,特別空売料※,名義書換料(税抜)※,金利※,貸株料※,事務管理費（税抜）※,消費税,諸費用,受渡日,支払金額,受取金額,備考

---------------------------------------------------------------------------------------
株式投資信託
銘柄名,口座区分,売買区分,取引,分配金コース※,自己/委託,数量,約定日,単価,約定金額,買付手数料(税抜),消費税,お取引前元本※,お取引後元本※,受渡日,支払金額,受取金額,備考

---------------------------------------------------------------------------------------
国内債券
銘柄名,利率※,償還日※,利払日１※,利払日２※,口座区分,売買区分,取引,自己/委託,額面,約定日,単価,約定金額,経過利子,受渡日,支払金額,受取金額,備考

---------------------------------------------------------------------------------------
先物・オプション取引/（新規建）
銘柄名,銘柄コード,市場,商品,売買最終日/取引最終日,売買区分,自己/委託,数量,建約定日,建単価,建約定金額,建手数料(税抜),消費税,受渡日,支払金額,受取金額,備考

---------------------------------------------------------------------------------------
先物・オプション取引（返済）
銘柄名,銘柄コード,市場,商品,売買最終日/取引最終日,売買区分,自己/委託,数量,建約定日,建単価,建約定金額,埋約定日,埋単価,埋約定金額,建手数料(税抜)※,埋手数料(税抜),消費税,受渡日,支払金額,受取金額,備考

---------------------------------------------------------------------------------------
米国株式（信用取引/新規建）
銘柄名,銘柄コード,市場,商品※,口座区分,売買区分,取引,自己/委託,弁済期限,現地約定日,通貨,為替レート,数量,建約定日,建単価,建約定金額,手数料(税抜),SecFee,消費税,受渡日,備考

---------------------------------------------------------------------------------------
米国株式（信用取引/返済)
銘柄名,銘柄コード,市場,商品※,口座区分,売買区分,取引,自己/委託,弁済期限,現地約定日,決済方法,決済通貨,数量,建約定日,建単価,建為替レート,建約定金額(USD),建約定金額(円),埋約定日,埋単価,埋為替レート,埋約定金額(USD),埋約定金額(円),建手数料(税抜)(USD)※,建手数料(税抜)(円)※,埋手数料(税抜)(USD),埋手数料(税抜)(円),SecFee(USD),SecFee(円),金利(USD)※,金利(円)※,貸株料(USD)※,貸株料(円)※,付加貸株料(USD)※,付加貸株料(円)※,権利処理手数料(税抜)(USD)※,権利処理手数料(税抜)(円)※,管理費（税抜）(USD)※,管理費（税抜）(円)※,消費税(USD),消費税(円),諸費用(USD),諸費用(円),受渡日,支払金額(USD),支払金額(円),受取金額(USD),受取金額(円),備考

【ご留意事項】
・※の付いている項目はCSVのみで表示している項目です。取引報告書には記載しておりません。
・本CSVファイルに記載されている「支払金額｣、「受取金額」は、取引報告書内では「受渡金額」と表記しています。
